pr,issue,autor,base,abierto,mergeado,horas,archivos,agregadas,borradas,corridas_ci,fallas_ci,tokens,minutos_sesion,bitacora
226,198,AlanArevalo1,dev,2026-09-02T17:30:05Z,2026-09-04T04:57:17Z,35.5,12,360,2,24,3,,30,docs/sesiones/2026-09-02-198-stock-por-variante.md
240,,SantiagoBriz,dev,2026-09-04T13:13:14Z,2026-09-04T13:23:44Z,0.2,1,279,122,12,2,,,
241,,SantiagoBriz,dev,2026-09-04T13:35:12Z,2026-09-04T13:40:27Z,0.1,1,39,5,4,0,,,
244,,SantiagoBriz,dev,2026-09-04T14:19:30Z,2026-09-04T17:06:07Z,2.8,1,5,0,4,0,,,
245,,SantiagoBriz,dev,2026-09-04T23:53:02Z,2026-09-05T00:02:36Z,0.2,1,41,0,3,0,,,
242,,SantiagoBriz,dev,2026-09-04T13:45:09Z,2026-09-05T13:58:33Z,24.2,1,97,6,10,0,,,
246,,SantiagoBriz,dev,2026-09-05T14:14:35Z,2026-09-05T14:23:09Z,0.1,1,61,1,3,0,,,
249,235,AlanArevalo1,dev,2026-09-05T15:40:34Z,2026-09-05T17:06:18Z,1.4,4,185,21,5,0,,50,docs/sesiones/2026-09-05-235-parametros-sin-confirmar-tablero.md
247,,SantiagoBriz,dev,2026-09-05T14:31:16Z,2026-09-05T17:40:08Z,3.1,1,23,0,7,0,,,
256,236,AlanArevalo1,dev,2026-09-06T06:33:55Z,2026-09-06T06:35:23Z,0.0,5,166,4,5,0,,,
257,251,AlanArevalo1,dev,2026-09-06T13:21:51Z,2026-09-06T13:23:11Z,0.0,2,32,1,5,0,,,
259,238,AlanArevalo1,dev,2026-09-06T14:10:09Z,2026-09-06T14:11:46Z,0.0,5,118,0,5,0,,,docs/sesiones/2026-09-06-238-lote-activo.md
258,250,AlanArevalo1,dev,2026-09-06T13:57:14Z,2026-09-06T18:47:44Z,4.8,9,365,15,9,0,,,docs/sesiones/2026-09-06-250-e2e-servidor.md
261,237,AlanArevalo1,dev,2026-09-06T18:46:29Z,2026-09-06T19:44:12Z,1.0,7,232,68,11,0,,,docs/sesiones/2026-09-06-237-simulador-costeo.md
262,260,AlanArevalo1,dev,2026-09-06T19:17:56Z,2026-09-06T19:38:47Z,0.3,7,259,1,5,0,,,docs/sesiones/2026-09-06-260-parametros-catalogo.md
263,,SantiagoBriz,dev,2026-09-06T20:08:10Z,2026-09-06T20:09:42Z,0.0,2,525,0,4,0,,,
265,264,SantiagoBriz,dev,2026-09-06T20:45:54Z,2026-09-06T20:47:25Z,0.0,1,9573,9511,3,0,,,
